	0
1411	OR10K1
1412	GABARAP
1413	AC091153.4
1414	AP000753.1
1415	LINC01060
1416	F11
1417	CLPTM1L
1418	PLCL2
1419	AC087854.1
1420	CCR10
1421	AC120498.10
1422	AC104076.1
1423	LINC02263
1424	CADM3
1425	OR10A2
1426	ACOT7
1427	ARG1
1428	AC006041.2
1429	TIRAP
1430	GLB1L3
1431	RBM22
1432	CC2D1A
1433	PSEN2
1434	DEF8
1435	FOXL1
1436	IGSF10
1437	AC007423.1
1438	DLST
1439	METTL21A
1440	GPT
1441	AL592295.3
1442	AP002852.1
1443	ELK1
1444	CFAP410
1445	AC092354.2
1446	LDB1
1447	IGBP1-AS2
1448	AC044798.3
1449	LIX1L-AS1
1450	NXPH1
1451	ACVR2B
1452	NIT1
1453	KCNA3
1454	TMEM215
1455	CCDC73
1456	ZNF333
1457	ZBP1
1458	NDUFA10
1459	FLI1
1460	MROH8
1461	LINC00924
1462	NACAD
1463	TIPARP
1464	S100G
1465	PCF11
1466	ZNF208
1467	RFX2
1468	GKN1
1469	PIP4K2B
1470	AC092810.3
1471	STK32A
1472	TMEM144
1473	GULP1
1474	SPATA6L
1475	KIF21A
1476	SLC9A4
1477	RIBC2
1478	OXER1
1479	AL033519.5
1480	LXN
1481	KIAA1324
1482	AC007663.2
1483	AL121768.1
1484	AL034347.1
1485	CAAP1
1486	TRIM22
1487	AC145285.6
1488	KRT1
1489	TNFAIP3
1490	AC015908.2
1491	NSG1
1492	ABCC9
1493	CA7
1494	SHMT2
1495	AC008273.1
1496	EFR3B
1497	LINC02687
1498	TTC26
1499	ZNF780B
1500	AC009630.4
1501	TMEM242
1502	LINC00922
1503	POMGNT2
1504	SHE
1505	WASF3
1506	AL158801.3
1507	IL1A
1508	AL136307.1
1509	AC091153.3
1510	ARSD
1511	TRAV12-2
1512	AP002957.1
1513	GALR2
1514	DDX31
1515	ARL6IP4
1516	AL031584.3
1517	TSC22D3
1518	AC010913.1
1519	LMF1
1520	RNF185
1521	AL391684.1
1522	AL133372.2
1523	CRLS1
1524	LINC00350
1525	AVPR1A
1526	GSTM2
1527	AC226101.1
1528	MAPKBP1
1529	AC006480.2
1530	AL133477.2
1531	AC083805.1
1532	AC091946.1
1533	SLC25A13
1534	KLF15
1535	RNPS1
1536	ABRA
1537	SCAP
1538	FUCA2
1539	SUPT16H
1540	ZNF225
1541	HCCS
1542	ZNF750
1543	CXCL9
1544	RPS6KA2-AS1
1545	LINC01254
1546	CORIN
1547	WDR87
1548	GPR84
1549	KDM5C
1550	LRRC75A
1551	LINC02767
1552	TMEM196
1553	CACHD1
1554	LINC00944
1555	BORCS8
1556	ZFHX2
1557	METTL3
1558	AC008735.1
1559	AL390763.1
1560	THRAP3
1561	AL358333.2
1562	TFCP2
1563	NMRK2
1564	STARD7
1565	YEATS2-AS1
1566	AC131254.1
1567	CHD8
1568	DPM2
1569	ZNF525
1570	AC130888.1
1571	AF111169.2
1572	AL162718.1
1573	CHI3L1
1574	AC079031.1
1575	LINC01709
1576	DCDC2
1577	LAMA5-AS1
1578	RTP5
1579	SVOPL
1580	HNRNPDL
1581	LINC01290
1582	AC092828.1
1583	AC003035.1
1584	AL357552.2
